Index,Value
1,16.81163256
2,17.03464778
3,21.55400705
4,20.63570284
5,15.48824866
6,16.74535453
7,19.14873664
8,19.91236283
9,20.27609595
10,22.09716152
11,24.0486652
12,23.47648987
13,17.65393535
14,21.29476177
15,20.18621752
16,18.57852985
17,15.28095298
18,19.24368589
19,18.98005591
20,16.54914442
21,17.03023002
22,21.24478785
23,20.75253182
24,21.57413335
25,12.83909492
26,20.57645618
27,21.92165042
28,25.01754495
29,19.54609907
30,15.54577549
31,24.44110848
32,17.35674882
33,18.7277435
34,20.2204377
35,19.99554643
36,19.13958752
37,21.32141417
38,13.93766467
39,20.33269498
40,17.70217542
