Index,Value
1,19.18042957
2,21.71749159
3,19.61666344
4,20.18745098
5,21.53050232
6,22.60367901
7,17.70727123
8,19.35960763
9,17.65533026
10,19.66025139
11,20.11814431
12,17.21345483
13,20.98031838
14,19.42862772
15,20.36132827
16,23.5969889
17,22.39250108
18,18.05151908
19,19.07515691
20,21.94474962
21,21.0511727
22,19.17068217
23,18.69252997
24,17.03938965
25,18.99127504
26,19.49766143
27,19.76623147
28,13.52209911
29,18.28579352
30,16.01600564
31,19.45806974
32,18.20009987
33,19.83141585
34,18.26836958
35,25.2103915
36,20.78515056
37,17.71514366
38,18.07806687
39,20.42799296
40,17.5412127
41,18.45097379
42,16.07049517
43,17.92631321
44,10.10545318
45,20.87275078
46,18.75027245
47,21.63503257
48,19.10120528
49,20.24056563
50,22.46659423
51,30.25166202
52,23.13016797
53,21.88475387
54,16.61331268
55,21.55655809
56,22.53305695
57,15.59695619
58,22.46639549
59,20.61231564
60,20.51396194
61,21.09527901
62,19.21820254
63,16.74839347
64,20.20443547
65,17.75537656
66,12.49402231
67,23.82436168
68,21.68249133
69,19.5908599
70,20.81836417
71,18.81271648
72,36.08617414
73,17.06610654
74,18.99292203
75,23.04653855
76,21.22061044
77,17.6625543
78,18.85750736
79,19.2275307
80,20.20421543
